N,tau,noise,type,probability,mean,second_moment,third_moment,fourth_moment,variance,skewness,kurtosis
50,0.0001,0.05,pk,"[0.9990011033326266, 0.9910344389861844, 0.9752313318631417, 0.9518498810990124, 0.92127143081691, 0.8839937581022604, 0.8406222399179578, 0.7918592009299168, 0.7384916806069259, 0.6813778858667134, 0.6214326147201965, 0.559611946368127, 0.49689749444211034, 0.43428051319926014, 0.37274613249848476, 0.31325797758450297, 0.2567434055294429, 0.20407956314978448, 0.1560804428236331, 0.11348508426389478, 0.07694704315490157, 0.04702522257571324, 0.024176140983833007, 0.0087476916180638, 0.0009744323450805309]",,,,,,,
50,0.0001,0.05,numeric,"[0.0, 0.0, 0.0, 3.1746584730628306e-08, 1.0593894882824247e-06, 2.0020280140740613e-05, 0.00023369153442207073, 0.0017831069167404214, 0.009246033617441078, 0.03348451295274304, 0.08633511196375213, 0.16057518634188278, 0.2172066708528061, 0.2145277465980758, 0.15470678795789627, 0.08114074897814588, 0.030698429617700727, 0.00826890980259363, 0.001555574368231818, 0.00019887352618890307, 1.6619759537905736e-05, 8.578884622704498e-07, 2.5077991612441285e-08, 0.0, 0.0, 0.0]",24.922437295086628,633.6276111318883,16414.630669291982,432849.77579154755,12.499730404363392,0.0387680054918746,462.48046737210825
50,0.0001,0.05,thermal1,"[0.0, 0.0, 0.0, 3.1751933768201616e-08, 1.0595309782550312e-06, 2.0022332566487274e-05, 0.00023370914776278573, 0.0017831998476855197, 0.009246336524524399, 0.033485092279313775, 0.08633560756695134, 0.16057487795945485, 0.2172054370966345, 0.21452655877056184, 0.1547065575207902, 0.08114127345032467, 0.03069899214708815, 0.008269191723078294, 0.0015556580183156807, 0.00019888891247960857, 1.6621502522933912e-05, 8.580053900435541e-07, 2.508229578593257e-08, 0.0, 0.0, 0.0]",24.922437276612,633.6277596365426,16414.64180805881,432850.342534121,12.499879829883184,0.0387697459882474,462.49137531407183
50,0.0001,0.1,pk,"[0.9990011046771635, 0.9910344509617564, 0.9752313644435068, 0.9518499429832417, 0.9212715288894302, 0.8839938970034259, 0.8406224217517168, 0.7918594251272302, 0.7384919439541103, 0.681378182698083, 0.6214329372642478, 0.5596122852269386, 0.4968978391751182, 0.4342808529756889, 0.37274645677795154, 0.3132582767830099, 0.2567436716283766, 0.2040797902086756, 0.15608062736317238, 0.11348522549373148, 0.07694714303056525, 0.04702528568006493, 0.024176174239714333, 0.00874770385016701, 0.0009744337188678303]",,,,,,,
50,0.0001,0.1,numeric,"[0.0, 0.0, 0.0, 3.1746174106661215e-08, 1.0593772223153378e-06, 2.0020075530904795e-05, 0.0002336894640751824, 0.0017830935507467064, 0.009245976940278185, 0.033484353523740525, 0.0863348192826935, 0.16057486258474854, 0.21720653188394815, 0.21452790518678758, 0.15470711607648735, 0.08114103339141332, 0.030698579796938682, 0.008268961744599903, 0.0015555863053185095, 0.00019887532967781632, 1.6619933479056404e-05, 8.5789864178383e-07, 2.507832384016205e-08, 0.0, 0.0, 0.0]",24.922445913340912,633.6280408344661,16414.64705675472,432850.3417056976,12.499730531063163,0.0387636980594834,462.4804766215384
50,0.0001,0.1,thermal1,"[0.0, 0.0, 0.0, 3.175151952251936e-08, 1.0595186162868705e-06, 2.002212656716335e-05, 0.00023370706551779645, 0.0017831864190593265, 0.009246279643744162, 0.03348493246221814, 0.0863353145564014, 0.16057455441312504, 0.2172052989555338, 0.21452671815118138, 0.1547068857890975, 0.08114155751090965, 0.03069914195063966, 0.008269243477438333, 0.0015556698998713918, 0.00019889070577845626, 1.662167531230599e-05, 8.580154926124797e-07, 2.5082625704230908e-08, 0.0, 0.0, 0.0]",24.922445894865962,633.6281892391438,16414.658188049296,432850.9080686376,12.499879856622556,0.0387654368423682,462.4913772677537
50,0.0001,0.2,pk,"[0.999001110053718, 0.9910344988498543, 0.9752314947263594, 0.9518501904468165, 0.9212719210632598, 0.8839944524434045, 0.8406231488711147, 0.7918603216505308, 0.7384929970303586, 0.6813793696712243, 0.621434227057464, 0.5596136402596829, 0.4968992176975239, 0.43428221167752523, 0.3727477535102269, 0.3132594732211502, 0.25674473570749506, 0.20408069817399588, 0.15608136530163322, 0.11348579024490275, 0.07694754241426459, 0.04702553802229973, 0.024176307223619003, 0.008747752764005266, 0.0009744392123798747]",,,,,,,
50,0.0001,0.2,numeric,"[0.0, 0.0, 0.0, 3.1744532212890303e-08, 1.0593281742465057e-06, 2.0019257353175384e-05, 0.00023368118530908146, 0.001783040103506347, 0.009245750301756873, 0.03348371600251057, 0.08633364891083047, 0.16057356793810876, 0.2172059761622667, 0.2145285393421851, 0.15470842815879338, 0.08114217071136776, 0.030699180340656457, 0.00826916945352711, 0.0015556340402613068, 0.00019888254163503348, 1.6620629053555224e-05, 8.579393496427344e-07, 2.507965463022105e-08, 0.0, 0.0, 0.0]",24.92248037611777,633.6297591355801,16414.71258723723,432852.604695129,12.499731037604532,0.0387464736086258,462.4805135978386
50,0.0001,0.2,thermal1,"[0.0, 0.0, 0.0, 3.1749863084133204e-08, 1.0594691844817578e-06, 2.0021302834635075e-05, 0.00023369873918355376, 0.001783132721415573, 0.009246052191158918, 0.03348429338936743, 0.08633414286718215, 0.1605732606092408, 0.21720474654326244, 0.21452735547272647, 0.1547081984700469, 0.08114269342084231, 0.030699740992327643, 0.008269450436128697, 0.0015557174127908866, 0.00019889787699280042, 1.6622366281448278e-05, 8.580558920220345e-07, 2.508394502728918e-08, 0.0, 0.0, 0.0]",24.92248035764225,633.6299071405647,16414.723688657672,432853.1695402729,12.499879963501026,0.038748205792217,462.49138506595045
50,0.0001,0.5,pk,"[0.999001147618309, 0.9910348334316939, 0.9752324049790595, 0.9518519194105818, 0.9212746610791039, 0.883998333155493, 0.8406282290594486, 0.7918665854151908, 0.7385003545836365, 0.6813876627200108, 0.6214432384754498, 0.5596231074813488, 0.49690884902814736, 0.43429170452127425, 0.37275681338519984, 0.31326783236612266, 0.25675217009625423, 0.2040870418408149, 0.15608652104188311, 0.11348973597911612, 0.07695033277822959, 0.04702730105483261, 0.024177236338368706, 0.008748094508822347, 0.0009744775937197424]",,,,,,,
