2023-08-23 00:03:43,585 Finished calculating data for N=50, tau=0.000178, noise=0.1
2023-08-23 00:03:43,633 Finished calculating data for N=50, tau=0.000178, noise=0.2
2023-08-23 00:03:43,683 Finished calculating data for N=50, tau=0.000178, noise=0.5
2023-08-23 00:03:43,733 Finished calculating data for N=50, tau=0.000178, noise=1.0
2023-08-23 00:03:43,784 Finished calculating data for N=50, tau=0.000178, noise=5.0
2023-08-23 00:03:43,833 Finished calculating data for N=50, tau=0.000178, noise=10.0
2023-08-23 00:03:43,884 Finished calculating data for N=50, tau=0.000215, noise=0.0
2023-08-23 00:03:43,931 Finished calculating data for N=50, tau=0.000215, noise=0.001
2023-08-23 00:03:43,981 Finished calculating data for N=50, tau=0.000215, noise=0.01
2023-08-23 00:03:44,032 Finished calculating data for N=50, tau=0.000215, noise=0.05
2023-08-23 00:03:44,083 Finished calculating data for N=50, tau=0.000215, noise=0.1
2023-08-23 00:03:44,132 Finished calculating data for N=50, tau=0.000215, noise=0.2
2023-08-23 00:03:44,180 Finished calculating data for N=50, tau=0.000215, noise=0.5
2023-08-23 00:03:44,234 Finished calculating data for N=50, tau=0.000215, noise=1.0
2023-08-23 00:03:44,281 Finished calculating data for N=50, tau=0.000215, noise=5.0
2023-08-23 00:03:44,332 Finished calculating data for N=50, tau=0.000215, noise=10.0
2023-08-23 00:03:44,383 Finished calculating data for N=50, tau=0.000287, noise=0.0
2023-08-23 00:03:44,433 Finished calculating data for N=50, tau=0.000287, noise=0.001
2023-08-23 00:03:44,485 Finished calculating data for N=50, tau=0.000287, noise=0.01
2023-08-23 00:03:44,539 Finished calculating data for N=50, tau=0.000287, noise=0.05
2023-08-23 00:03:44,590 Finished calculating data for N=50, tau=0.000287, noise=0.1
2023-08-23 00:03:44,641 Finished calculating data for N=50, tau=0.000287, noise=0.2
2023-08-23 00:03:44,692 Finished calculating data for N=50, tau=0.000287, noise=0.5
2023-08-23 00:03:44,744 Finished calculating data for N=50, tau=0.000287, noise=1.0
2023-08-23 00:03:44,795 Finished calculating data for N=50, tau=0.000287, noise=5.0
2023-08-23 00:03:44,845 Finished calculating data for N=50, tau=0.000287, noise=10.0
2023-08-23 00:03:44,896 Finished calculating data for N=50, tau=0.000316, noise=0.0
2023-08-23 00:03:44,944 Finished calculating data for N=50, tau=0.000316, noise=0.001
