N,tau,type,probability,mean,second_moment,third_moment,fourth_moment,variance,skewness,kurtosis
4,0.1,pk,"[0.7249085195188172, 0.0722072203043922]",,,,,,,
4,0.1,numeric,"[0.2552278893462167, 0.6924284814843573, 0.05234362916942606]",1.5942314796464188,3.607211992648246,8.889420118718126,24.478824771122788,1.0656379819526367,-0.2590580271913438,3.420833368847944
4,0.1,thermal,"[0.2612583464830797, 0.6883614004862058, 0.050380253030714445]",1.5782438130952694,3.559529650436254,8.73122739785537,23.91112718364219,1.0686761168627583,-0.2598411897574637,3.375652766815538
40,0.0316227766016837,pk,"[0.9975756818197751, 0.9785815309873481, 0.9418222982284089, 0.8895427294079802, 0.824741203844028, 0.7506050095297928, 0.6709537639041143, 0.5890734611900376, 0.5072364712044966, 0.4280572310325248, 0.3533693474326377, 0.2843788569942435, 0.22208400568892275, 0.16721307577583253, 0.11980730379113448, 0.08011713462924853, 0.04845804852538785, 0.024703240065149616, 0.008900329207116456, 0.000988779572524737]",,,,,,,
40,0.0316227766016837,numeric,"[1.239588167152044e-10, 6.14988652736522e-08, 4.6089548058285385e-06, 0.00012389967158491606, 0.0015889804198368001, 0.011209600075756467, 0.047280795912291264, 0.1256724351947311, 0.21777846887558902, 0.251353404800706, 0.19551758768099026, 0.10288984887382265, 0.03649347597122292, 0.008621875005376693, 0.0013282483268252509, 0.00012897590273292837, 7.4897353829154184e-06, 2.3930713766118575e-07, 3.64841724858657e-09, 0.0, 0.0]",17.77641900490268,325.8769396765193,6145.141014086436,118947.51149974445,9.875867038654064,1.1008893295875168,287.8466467981925
40,0.0316227766016837,thermal,"[1.233649970438948e-10, 6.156686384861414e-08, 4.6154237718807565e-06, 0.00012402845941422445, 0.001589961672829035, 0.01121285728228612, 0.0472848583283872, 0.12567039379735434, 0.21776875447865715, 0.2513469934850575, 0.1955206129049744, 0.10289508903781108, 0.0364953449032343, 0.008621758099780705, 0.0013280239352568824, 0.0001289202257600269, 7.483631096567529e-06, 2.3898355506656103e-07, 3.640652295989723e-09, 0.0, 0.0]",17.776419004146643,325.87746479808885,6145.166177438931,118948.3327497287,9.876392187102908,1.0980476446129614,287.874290458858
40,0.0454877794700377,pk,"[0.9973736274003829, 0.9766552595467615, 0.9368025223739718, 0.8804169250392678, 0.8113644066721039, 0.7337461774199965, 0.6511812668284044, 0.5669475755350583, 0.4849240078446713, 0.4064721929125723, 0.3333880851014606, 0.26677552238076, 0.20706523711496208, 0.1551920638592859, 0.11073307785365986, 0.07382207242371479, 0.044507349205027885, 0.022691045640023978, 0.008140424141300793, 0.0009050112788861123]",,,,,,,
40,0.0454877794700377,numeric,"[2.6818550260248065e-10, 1.2262152271023663e-07, 8.419176353604805e-06, 0.0002071690541746252, 0.0024310811799173175, 0.015690519536231674, 0.06054523365773975, 0.14722347042331768, 0.2333964103293125, 0.24644151374944806, 0.17537908652416662, 0.08443882583380367, 0.02740162354602856, 0.005923332559201752, 0.000834947097980823, 7.418544968536109e-05, 3.942111137288993e-06, 1.1526550782949463e-07, 1.6082346398186565e-09, 0.0, 0.0]",17.338207700838627,310.43615154950385,5724.3338859180585,108461.21094891848,9.822705272083963,1.311204120713228,284.8074469474959
40,0.0454877794700377,thermal,"[2.694018260641237e-10, 1.230028093289123e-07, 8.436047144160637e-06, 0.00020739972743601814, 0.002432388290375249, 0.01569357761338996, 0.06054623940357002, 0.14721683414422906, 0.23338851562781993, 0.24644330586857566, 0.17538615118065579, 0.08444166957304877, 0.027400535665162172, 0.005922114923833576, 0.0008345383835334202, 7.411752144467271e-05, 3.936149796049229e-06, 1.1499704499135752e-07, 1.602718622313828e-09, 0.0, 0.0]",17.33820770053415,310.4363178097514,5724.338652115161,108461.25013059414,9.822871542889745,1.3073220880833103,284.8159661073005
40,0.0654318912971296,pk,"[0.9970855014169371, 0.9741475676064479, 0.9301381489738909, 0.8687606565808359, 0.7943965449068653, 0.7122716938353928, 0.6262648478172949, 0.5402481641006129, 0.4575936142187803, 0.3803364216409235, 0.3095271234085009, 0.24607944864350015, 0.19024664587273316, 0.14140883425661105, 0.1004564100893768, 0.06698541517152384, 0.040279570422934785, 0.020463089666671302, 0.007329146437451685, 0.0008125383189771625]",,,,,,,
