steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5,0.25000000000000067,0.5,0.2500000000000007,50
1,0.26571246760606937,0.15395787118594265,0.2657124676060695,0.15457916537663294,50
2,0.22088047566969954,0.15801030670287122,0.2208804756696995,0.16431420521888676,50
3,0.19609856918033755,0.15251148915284277,0.19609856918033744,0.1577030827291655,50
4,0.18752025368368191,0.17178914295315145,0.18752025368368172,0.18111638186147058,50
5,0.1760178299290585,0.1837768876250629,0.1760178299290585,0.1923625328842729,50
6,0.18543569527532391,0.20468254488006224,0.18543569527532394,0.22376327433279036,50
7,0.19861284579244018,0.2133659182186233,0.19861284579244007,0.23441810492966023,50
8,0.1886410685027971,0.22583051298677037,0.18864106850279708,0.24553812577186704,50
9,0.20005315881619054,0.2252001567586709,0.20005315881619054,0.2516020201307649,50
10,0.21260374605569818,0.2356841109296743,0.2126037460556982,0.2660673574661545,50
11,0.2035403457857366,0.24138891907661594,0.2035403457857366,0.26971297423574125,50
12,0.20860217279208396,0.2400885169647921,0.20860217279208387,0.28006721309094856,50
13,0.2108539412615677,0.2500402257985116,0.2108539412615678,0.2903809009429724,50
14,0.2093924938530801,0.2461007905216336,0.20939249385308006,0.2918435829392202,50
15,0.22692707505320708,0.2605872857487635,0.22692707505320725,0.31136435338217866,50
16,0.2117336405420463,0.2560251288451797,0.21173364054204616,0.30174348836646836,50
17,0.20908336202651095,0.24307035119449746,0.2090833620265109,0.2990520022052082,50
18,0.22822700591265346,0.2655744723058929,0.2282270059126536,0.32342017494686504,50
19,0.23206301096269474,0.25459585395761875,0.23206301096269497,0.32934675373664096,50
20,0.23124868927944633,0.24343653138675833,0.23124868927944622,0.32718276709644634,50
21,0.24193753685991598,0.25576044055771646,0.2419375368599161,0.3365299137150267,50
22,0.2446580772319169,0.25629669210582756,0.2446580772319169,0.34163969406045336,50
23,0.2361330607376658,0.25616781700558394,0.2361330607376657,0.3355077217708641,50
24,0.26837011161122615,0.27776593537951727,0.26837011161122615,0.3581087149791274,50
25,0.23203986206652133,0.2553356889410967,0.23203986206652144,0.3332005088530317,50
26,0.26517679039082864,0.27715251672433505,0.2651767903908286,0.3594641604997995,50
27,0.2734289893956573,0.2839452062331252,0.27342898939565713,0.36421901140290414,50
28,0.24799773757700222,0.25699408576415494,0.24799773757700216,0.3405417594555648,50
29,0.283346022589947,0.281517236299379,0.28334602258994734,0.3683323231078678,50
30,0.28651925644408044,0.2787793190268683,0.2865192564440805,0.3729471172430195,50
31,0.26983870476081256,0.28375737588929145,0.26983870476081273,0.3635699706311784,50
32,0.27579666530299635,0.27446602133147324,0.2757966653029963,0.365164312070758,50
33,0.2445328538618001,0.26627601436210996,0.24453285386180004,0.3457740538470748,50
34,0.2840884870472698,0.2798954133175687,0.2840884870472697,0.36806437593157926,50
35,0.27708295449806464,0.2736420492278231,0.2770829544980645,0.3664134090262318,50
36,0.26545137821500553,0.2653652483377709,0.26545137821500553,0.352574272749568,50
37,0.3200506007035221,0.28329164440482796,0.3200506007035223,0.3917682766933487,50
38,0.28789158209719995,0.27446568587549397,0.28789158209720006,0.37703750860734486,50
39,0.27965644693869346,0.2704840369141312,0.27965644693869346,0.3754667276901286,50
40,0.3136026400356809,0.2782743946501139,0.31360264003568106,0.39018010899181216,50
41,0.30525094107082523,0.28364715525495415,0.3052509410708251,0.38656078006120254,50
42,0.30624863857263995,0.28429988971688686,0.30624863857263984,0.38921128486417267,50
43,0.3391041700941658,0.2808356148791082,0.3391041700941658,0.39790174354591146,50
44,0.31352258944405564,0.27914188188890626,0.313522589444056,0.39341585599631657,50
45,0.30875190506696504,0.28199221179430217,0.30875190506696504,0.3848283750499519,50
46,0.3204929334526902,0.28640871655794353,0.32049293345269014,0.40104776168635914,50
47,0.3457945477403711,0.2946759515851822,0.3457945477403713,0.400914879184225,50
48,0.34039302801558674,0.3028977484882779,0.34039302801558674,0.4121767802866323,50
49,0.34533274573053624,0.28931592184839694,0.3453327457305362,0.4111177776158204,50
50,0.3316425946193535,0.2974489123344459,0.33164259461935364,0.4051084980911863,50
