steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.49999999999999906,0.2500000000000137,0.49999999999999906,0.25000000000001366,50
20,0.10601504681341374,0.09686547998589547,0.10601504681341332,0.09971168549680783,50
40,0.10676313497277007,0.11851286778531794,0.1067631349727698,0.1260454416599356,50
60,0.12683161131930898,0.15102900636550218,0.12683161131930903,0.16582085273504588,50
80,0.14236567373355657,0.1727198046604268,0.1423656737335566,0.19773847803353548,50
100,0.15891376223796322,0.19553315603702168,0.15891376223796225,0.22504920806342127,50
120,0.18072396470970692,0.21254915997267296,0.18072396470970667,0.25479345374900475,50
140,0.18891864803141611,0.2186419679681584,0.18891864803141536,0.267387398963842,50
160,0.20539369402811453,0.23486706802115606,0.20539369402811455,0.2904494598408459,50
180,0.22296212504856122,0.24198791036087947,0.2229621250485607,0.30696165713551893,50
200,0.22744170101934144,0.2523541941942407,0.22744170101933858,0.3177673662599983,50
220,0.24794228139312918,0.264445853725401,0.24794228139312885,0.3349066220677577,50
240,0.25609791871736964,0.27213004725504353,0.25609791871736926,0.34561156890546046,50
260,0.2607199138644482,0.2731347450277823,0.26071991386444826,0.34911231924557,50
280,0.27778043381107453,0.27232873904893096,0.2777804338110745,0.3609231748795429,50
300,0.29435161046777447,0.2719666491652461,0.2943516104677743,0.3782085294580497,50
320,0.292116722921588,0.28015006250805735,0.29211672292158775,0.37307103662742125,50
340,0.3049034530190446,0.2794164506129549,0.30490345301904576,0.385329190240156,50
360,0.2998174787014939,0.2788592511955466,0.2998174787014878,0.38402143520444043,50
380,0.31733710252680375,0.2850055440822415,0.3173371025268034,0.38951928630294164,50
400,0.30736749801498814,0.2800547846933342,0.307367498014987,0.38553901434694354,50
