steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5000000000000001,0.25,0.5000000000000001,0.25
5,0.17977398844293704,0.2135282638613404,0.1797739884429369,0.2562488957690058
10,0.19551476660306397,0.24507886770757564,0.19551476660306397,0.2970029570853549
15,0.22835444522621423,0.24971222110223032,0.22835444522621418,0.33274822398653264
20,0.2494349130141405,0.28003191965104146,0.24943491301414053,0.3565839629766352
25,0.28136882416389286,0.2858003076238474,0.28136882416389297,0.38148751187898183
30,0.3477934212326845,0.2827537455949223,0.34779342123268453,0.3872991347973902
