steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5,0.2500000000000002,0.5,0.2500000000000002
5,0.20527781870966014,0.26387922588467166,0.20527781870966028,0.32093340057906317
10,0.31383820323119366,0.3162577123077891,0.3138382032311936,0.41294530454134687
15,0.36205119815335435,0.3110323642420003,0.3620511981533543,0.43529997746668114
20,0.4406612289499695,0.37403838669188433,0.4406612289499694,0.48391601298668274
25,0.43396274180876104,0.3287677080429714,0.43396274180876104,0.48327072428764484
30,0.487726828532159,0.3487889913243073,0.4877268285321591,0.4993374420612535
