steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5,0.25000000000000067,0.5,0.2500000000000007
3,0.28136118811611405,0.2154293383629421,0.2813611881161141,0.2574898446468934
6,0.2837246460273293,0.2755181080094575,0.2837246460273292,0.3390140989887417
9,0.3309001203591275,0.2917156977330956,0.3309001203591275,0.378743641642113
12,0.3634964057206293,0.29113444727484644,0.36349640572062947,0.4010599377052097
15,0.3982715217552155,0.3051616646309975,0.3982715217552154,0.4230862606511533
18,0.37806405335113247,0.28116053830812093,0.3780640533511326,0.4241707095126438
21,0.3801398551185457,0.30625687649558564,0.38013985511854553,0.42867852149976093
24,0.40143180751299645,0.3034797602852226,0.4014318075129964,0.4361829354130773
27,0.423949371763446,0.30993031510571306,0.42394937176344616,0.4429583063349554
30,0.37841767330828624,0.2971020052451961,0.3784176733082863,0.43829225293431423
