qubits,steps,momentum_mean_kinks,momentum_var_kinks,momentum_purity,qiskit_mean_kinks,qiskit_var_kinks,qiskit_purity
4,0,2.0,1.0000000000000009,0.0,1.99777,0.9954950271,0.9999999999999986
4,3,0.17261256937387237,0.3179560114989929,0.0,0.17283,0.31802979109999996,0.9999999999999984
4,6,0.03065549785063295,0.06037168720657745,0.0,0.03055,0.0601666975,0.999999999999999
4,9,0.06966535251782421,0.13468593874045445,0.0,0.06883,0.1329624311,0.9999999999999941
4,12,0.007227900619438733,0.014429633525542006,0.0,0.00736,0.014745830399999998,0.9999999999999977
4,15,0.004066607098067867,0.00811677731222659,0.0,0.00371,0.0074462359,0.9999999999999932
4,18,0.010405871286121676,0.020750681307862586,0.0,0.009739999999999999,0.019425132399999996,0.9999999999999996
4,21,0.002023342853518603,0.004042676343055148,0.0,0.00206,0.004115756400000001,0.9999999999999978
4,24,0.0010669631726119644,0.00213324528503702,0.0,0.00108,0.0021588336,1.0000000000000002
4,27,0.002032179218378223,0.004060607336434485,0.0,0.00224,0.0044749824,1.000000000000001
4,30,0.0002514002083108538,0.0005027534412725122,0.0,0.00021,0.0004199559,1.0000000000000009
6,0,3.000000000000001,1.5,0.0,3.0011099999999997,1.5019987679,0.9999999999999983
6,3,0.9223400584796466,1.20671062558022,0.0,0.92278,1.2030370716,0.9999999999999984
6,6,0.43183813661026477,0.7139666240149385,0.0,0.43179,0.7132573959,0.9999999999999989
6,9,0.3718936776843214,0.621474206602308,0.0,0.37415,0.6246317775,0.9999999999999925
6,12,0.2299598817671501,0.41232111253051396,0.0,0.23035,0.41263887749999995,0.9999999999999949
6,15,0.0906917624520309,0.17412787698606508,0.0,0.09258999999999999,0.1775670919,0.9999999999999891
6,18,0.06676052292397654,0.12930552860034444,0.0,0.06818,0.13191148760000002,0.9999999999999999
6,21,0.05628509492384755,0.10943429958251104,0.0,0.05438,0.10580281559999999,0.9999999999999956
6,24,0.020703111550169687,0.040986731279223865,0.0,0.02067,0.040952751100000004,0.9999999999999977
6,27,0.011119250648873593,0.022129460431673208,0.0,0.0112,0.02227456,1.0000000000000009
6,30,0.014686555320346777,0.029185591651711553,0.0,0.0142,0.028198360000000002,1.0000000000000033
8,0,4.000000000000001,2.0,0.0,4.0051000000000005,1.99825399,0.9999999999999999
8,3,1.3071730603242318,1.1431061663067885,0.0,1.3077699999999999,1.1437976271,0.9999999999999978
8,6,0.8460507396885294,1.022542397885761,0.0,0.84318,1.0211274875999998,0.9999999999999982
8,9,0.7431951742444401,0.955185093316157,0.0,0.7423,0.95415071,0.99999999999999
8,12,0.598969578112252,0.8555561185341607,0.0,0.59871,0.8554863358999998,0.9999999999999933
8,15,0.38900323625292216,0.634631998602449,0.0,0.38959999999999995,0.6362518400000001,0.9999999999999858
8,18,0.2885207215882129,0.49622999164765236,0.0,0.28946,0.4974129084000001,1.0000000000000002
8,21,0.25254646059613606,0.4416150980028499,0.0,0.25327,0.4426343070999999,0.9999999999999962
8,24,0.18188250461746516,0.33091273892851325,0.0,0.18284,0.33248953439999995,1.0000000000000009
8,27,0.11955602624659316,0.22532079939199146,0.0,0.11991,0.2259215919,1.0000000000000018
8,30,0.10224744254001035,0.1945603314331355,0.0,0.10283,0.19544599110000002,1.0000000000000049
10,0,5.0,2.500000000000007,0.0,5.003120000000001,2.4952702656000003,0.9999999999999999
10,3,1.6339663254052914,1.1200038030349546,0.0,1.63067,1.1190553511,0.9999999999999976
10,6,1.1928152754461847,1.0860022402587934,0.0,1.19137,1.0850975231,0.9999999999999982
10,9,1.0928286286689388,1.0981301821861733,0.0,1.09113,1.0989753231,0.9999999999999878
10,12,0.9268973396109276,1.020777535338872,0.0,0.9235,1.02010775,0.9999999999999956
10,15,0.712685246237713,0.9267149527519377,0.0,0.7113299999999999,0.9252296311,0.999999999999978
10,18,0.5834716184555814,0.8336989980390233,0.0,0.58353,0.8343127390999998,1.0000000000000004
10,21,0.5295268800507587,0.7854293087571527,0.0,0.5287999999999999,0.7847705600000001,0.999999999999995
10,24,0.4433079350399505,0.6936922951551374,0.0,0.44411,0.6945463079,0.9999999999999987
10,27,0.3419355095062699,0.568487646915965,0.0,0.34006,0.5654791963999999,1.0000000000000049
10,30,0.2915521891695453,0.4996501118397724,0.0,0.29477,0.5042906470999999,1.0000000000000062
