steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5,0.25000000000000017,0.5,0.2500000000000002,10
5,0.3122910966345799,0.2817537913639454,0.31229109663457993,0.40960017165936097,10
10,0.48740686444029124,0.29253001763462533,0.48740686444029124,0.48789108556510974,10
15,0.42741141956400863,0.31023950712916626,0.4274114195640085,0.4843189462387555,10
20,0.6140986308051597,0.2985216139730928,0.6140986308051598,0.45431598894185843,10
25,0.5317200725813364,0.34870513559021366,0.5317200725813365,0.49210076806044656,10
30,0.5030190092191205,0.36976904853086123,0.5030190092191206,0.4877186541315417,10
