steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.49999999999999906,0.2500000000000137,0.49999999999999906,0.25000000000001366,50
5,0.42573429820591635,0.2496893050980336,0.42573429820591613,0.35697802846256993,50
10,0.4562248610321457,0.28931893975338596,0.45622486103214527,0.4064633639354474,50
15,0.4516262445049056,0.29733588275718764,0.4516262445049067,0.4233363212390441,50
20,0.4457640048771146,0.2991280817408827,0.44576400487711404,0.4203152624613904,50
25,0.4779541445807122,0.29624162004181315,0.47795414458071284,0.4306985424866707,50
30,0.46491170077256916,0.3084636389367111,0.46491170077256894,0.44637896925968107,50
35,0.4831339219845898,0.3121321687251542,0.48313392198459076,0.4447529820449313,50
40,0.479531399099897,0.3015033744525811,0.47953139909989645,0.45180095350558985,50
45,0.4600036853780373,0.3080312094217904,0.46000368537803743,0.4500448833473774,50
50,0.4634939141992788,0.3123296332023837,0.4634939141992786,0.45497509228191346,50
55,0.4868644109901313,0.3137673192801881,0.4868644109901321,0.4623754221271724,50
60,0.4713419320394137,0.31235483514770823,0.47134193203941394,0.45833908017794783,50
65,0.4852346112744808,0.3111055748808763,0.48523461127448003,0.4605103585874735,50
70,0.5007950916944456,0.31369791201154873,0.5007950916944449,0.4623441962916627,50
75,0.4766485346153888,0.3195514570218869,0.4766485346153888,0.46274413163416056,50
80,0.47634805313282635,0.31239619043542843,0.47634805313282635,0.45942353199560104,50
85,0.4852345644436481,0.31587900646074,0.4852345644436473,0.46840608488259705,50
90,0.4873291756711356,0.31148587462074656,0.4873291756711353,0.4688578719775683,50
95,0.48631331508843284,0.3192936064858875,0.486313315088433,0.4697264545599569,50
100,0.492396116324972,0.3212591132602065,0.4923961163249711,0.4660849240199127,50
