steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5,0.25000000000000067,0.5,0.2500000000000007,50
5,0.15169518352663816,0.14695195735646976,0.1516951835266382,0.15075404323774205,50
10,0.15668896049719735,0.17965912806173726,0.15668896049719738,0.1947934506831201,50
15,0.14281377623751085,0.1915365531905325,0.14281377623751068,0.20743923676626214,50
20,0.15527379661828036,0.2099694137880051,0.15527379661828028,0.23679336175436524,50
25,0.15831906303973986,0.21542377984684558,0.1583190630397398,0.24877538125369109,50
30,0.17518400701804265,0.22760385466895514,0.17518400701804265,0.2740956777699973,50
35,0.2040884075484203,0.2464168311851358,0.20408840754842023,0.30184246989838376,50
40,0.2050212292389947,0.2428772336429753,0.2050212292389947,0.3014500244332098,50
45,0.20665963478277574,0.2389330882136777,0.20665963478277566,0.3082675073034699,50
50,0.2194961568318894,0.23914712656867942,0.2194961568318894,0.31508141616571644,50
55,0.22735682253426948,0.24217303810170943,0.22735682253426942,0.32373343112213815,50
60,0.22848156048750834,0.24676398714870826,0.22848156048750834,0.32339568341302616,50
65,0.2447049584226475,0.24947525960707204,0.24470495842264764,0.3426062413980254,50
70,0.26969501876914376,0.27124456641164774,0.2696950187691437,0.3585835975647983,50
75,0.28458111027574945,0.26099764116855123,0.28458111027574934,0.36821829618999774,50
80,0.28056290764888264,0.26423045866624045,0.2805629076488826,0.363011117184561,50
85,0.30224837014707523,0.2623690108297135,0.3022483701470754,0.37155924706396204,50
90,0.3014138494967748,0.2800274707333301,0.30141384949677497,0.3852053809642516,50
95,0.30896575804039644,0.2893140831065989,0.30896575804039644,0.3861784170813376,50
100,0.30949447344554953,0.2783991370071933,0.30949447344554953,0.39344903419656313,50
