steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5000000000000001,0.25000000000003636,0.5000000000000001,0.25000000000003636,50
5,0.1549878461816621,0.1197662189713072,0.15498784618166225,0.12347908440129572,50
10,0.16452285551575827,0.151449659881486,0.16452285551577003,0.16301632154646825,50
15,0.16365940698751252,0.16484465810482646,0.16365940698751158,0.18125037692512422,50
20,0.18014658000462552,0.18971323779396201,0.18014658000462522,0.2148385409443955,50
25,0.2006442431255443,0.21172401324751788,0.20064424312554607,0.2512847555445387,50
30,0.2106693742736187,0.21790188014701467,0.21066937427360913,0.2621807777865246,50
35,0.22012383981318479,0.23082052606519204,0.22012383981318448,0.2811223044867296,50
40,0.2225835211812562,0.23525678401499675,0.22258352118125108,0.28605931984486915,50
45,0.2459467964941541,0.2456117670914505,0.24594679649414725,0.3111613256884436,50
50,0.24582477558547017,0.248167545634964,0.24582477558547008,0.3130100098758021,50
55,0.2630332850428785,0.251878458278073,0.2630332850428776,0.3254775076139083,50
60,0.2694301690584681,0.26137016015409614,0.2694301690584675,0.3359786945837902,50
65,0.2848544423146895,0.2624936132921834,0.284854442314689,0.3487953883582543,50
70,0.3007317508500916,0.26735349958827426,0.30073175085008946,0.3607096552880751,50
75,0.3022204192051352,0.2685612836132842,0.3022204192051335,0.364405355723984,50
80,0.3053250280322706,0.27227505928719486,0.3053250280322704,0.3654243810690639,50
85,0.32187158613080635,0.2772290189137773,0.32187158613080435,0.37503438118371607,50
90,0.33133532832315404,0.27355084899842885,0.3313353283231534,0.38010612809035593,50
95,0.3307222990993787,0.28246448924857864,0.3307222990993769,0.3857547529902445,50
100,0.33407781415939763,0.2793471105019622,0.33407781415939264,0.38735577473283456,50
