steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5,0.25000000000000017,0.5,0.2500000000000002
5,0.11903384304001807,0.18271246857781462,0.11903384304001803,0.20568453586934266
10,0.32877465845847176,0.30554961517340107,0.3287746584584717,0.41394195021861147
15,0.31038354579109784,0.30084112380415406,0.3103835457910978,0.4215842940960538
20,0.4229630637315897,0.3549854842825072,0.42296306373158976,0.48402209011331176
25,0.46036933161321886,0.34384415340035934,0.4603693316132189,0.49617179871277106
30,0.5003062294174614,0.35132199359941496,0.5003062294174614,0.499998791576038
