steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5,0.25000000000000067,0.5,0.2500000000000007,50
1,0.47519831643080834,0.20453081556143182,0.47519831643080845,0.28692715281483994,50
2,0.4789705132392787,0.2556514666392899,0.4789705132392787,0.337405192805112,50
3,0.46369681213196096,0.27612634628701016,0.4636968121319609,0.3690126724920916,50
4,0.4610085954342506,0.2857374480315917,0.46100859543425055,0.38811885210621605,50
5,0.4603669387163546,0.2933791414686729,0.4603669387163546,0.4004208755263772,50
6,0.4707912965952197,0.2954842016307161,0.47079129659521957,0.4098264551921346,50
7,0.4590808820973622,0.29881901822611184,0.4590808820973623,0.41056174227126013,50
8,0.4744196967003289,0.28874942838450307,0.47441969670032896,0.415975424093018,50
9,0.45050896514998107,0.2924439354383588,0.45050896514998123,0.4244465558702991,50
10,0.5077478498006256,0.3147172507685564,0.5077478498006255,0.43847219869802034,50
11,0.4987268573416221,0.3292105907156387,0.49872685734162214,0.44455230114137406,50
12,0.4919319460216683,0.34058103844001475,0.49193194602166834,0.4450726729213777,50
13,0.48712221704190545,0.3413026187538108,0.4871222170419056,0.4612501395807886,50
14,0.48590282906615784,0.292897999668216,0.4859028290661579,0.4445195603554158,50
15,0.47058452472651635,0.327735178666596,0.4705845247265163,0.45990124253021564,50
16,0.4861154788329208,0.3363059904045048,0.4861154788329207,0.4709558821401384,50
17,0.5015338569860888,0.3259389821709446,0.5015338569860884,0.46879000655983594,50
18,0.48362941323401304,0.3245336381608048,0.48362941323401304,0.4629083601848297,50
19,0.4748304486293569,0.321812842057616,0.47483044862935725,0.48194060494459556,50
20,0.4898197594607609,0.30742442890992605,0.4898197594607609,0.4720310630439748,50
