steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5,0.2500000000000008,0.5,0.2500000000000007
5,0.2840535750264224,0.2467567699827197,0.28405357502642253,0.3145655428891841
10,0.32117831834477534,0.2801274967613556,0.3211783183447753,0.367519680447378
15,0.3611025501773455,0.30337541878494323,0.36110255017734555,0.4196809164080083
20,0.37538828982154737,0.27501090692512875,0.3753882898215474,0.4249929123648579
25,0.3851093014992291,0.30721683474157924,0.38510930149922895,0.42532995853031946
30,0.3804239643439104,0.31390274644154265,0.38042396434391035,0.4342713388813582
