steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5000000000000001,0.25000000000003636,0.5000000000000001,0.25000000000003636,10
5,0.1263430895545751,0.078762076161629,0.1263430895545755,0.0788194182290087,10
10,0.1129086192326486,0.0737030952619141,0.1129086192326678,0.0738974798552871,10
15,0.0922322688103405,0.0586877847168815,0.0922322688103402,0.0591396188833395,10
20,0.0834392982274184,0.05585419263766,0.0834392982274183,0.0559965227027186,10
25,0.0777489377274026,0.0540315737109251,0.0777489377274022,0.0543543602233934,10
30,0.0718269917114184,0.0508293801651473,0.0718269917114179,0.0510601545638288,10
35,0.0693784375150296,0.0527021780997319,0.0693784375150294,0.053050889427992,10
40,0.0650506727380782,0.0503542430725353,0.0650506727380778,0.0507253132645583,10
45,0.0636281769929491,0.0507418126708224,0.0636281769929474,0.0512331242792441,10
50,0.06240010993136559,0.05095532175378973,0.06240010993136684,0.05152691763402153,10
55,0.0587908988432321,0.050103943871122,0.0587908988432317,0.0506039583042229,10
60,0.0590177988611786,0.0518918102134289,0.0590177988611788,0.0527723763359671,10
65,0.0637047750363965,0.0611219040313715,0.0637047750363979,0.0620005552107884,10
70,0.0584746905021747,0.0544966725662367,0.0584746905021737,0.0554014702688362,10
75,0.0583243979033724,0.0569662507634933,0.0583243979033732,0.0579798694675806,10
80,0.0606905376701293,0.0618754161584689,0.0606905376701268,0.0632743852664881,10
85,0.0603901484555651,0.0621463730949246,0.0603901484555629,0.0634154523954753,10
90,0.0572987928002759,0.0590583538567347,0.0572987928002743,0.0601339532764326,10
95,0.0560895010151392,0.0579182062814299,0.0560895010151407,0.0589261434836912,10
100,0.05998424442269547,0.06549755094579567,0.05998424442269517,0.06718230960840828,10
150,0.072116575737633,0.09044274204382044,0.07211657573763289,0.0942974068852054,10
200,0.07198573435440418,0.09604089494350082,0.0719857343544034,0.10099310697194397,10
250,0.08137833232028582,0.11317192291066962,0.08137833232028653,0.11968103057591307,10
300,0.08586702002525622,0.1180630873736567,0.08586702002525577,0.12901517510299398,10
350,0.09334043210630406,0.1324752638196626,0.09334043210630431,0.14369877456075372,10
400,0.10444523255674394,0.14883163675633315,0.10444523255674337,0.1628981082267866,10
450,0.11277912639171342,0.15736161054575137,0.11277912639171378,0.17581726952494547,10
500,0.13026622285559758,0.18118619858090274,0.1302662228555962,0.20161555004014162,10
550,0.11713496989690309,0.16213949567077024,0.11713496989690338,0.18119117425275902,10
600,0.12971981095866353,0.17635265406285866,0.12971981095866358,0.20247815318122833,10
650,0.14493575551717774,0.19349836676081053,0.14493575551717694,0.22277396981358094,10
700,0.1525904228815857,0.19602411916897472,0.1525904228815847,0.2306697273442117,10
750,0.1652378557360938,0.2128632232139883,0.16523785573609406,0.25057019156612115,10
800,0.16822095171461354,0.2068445606912479,0.16822095171461351,0.2514794631255489,10
850,0.16125932220624423,0.21165355179128414,0.16125932220624425,0.24450437472345754,10
900,0.163366552576153,0.2053488781029676,0.16336655257615376,0.24890624985927728,10
950,0.1947251083164242,0.23019259114228116,0.19472510831642345,0.2844110798675416,10
1000,0.19353075386854604,0.22936061334835062,0.19353075386854432,0.28254535825347094,10
