steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5,0.2500000000000007,0.5,0.2500000000000007,100
1,0.48933577288560764,0.20556699385967275,0.4893357728856075,0.2880620851546052,100
2,0.497864212816352,0.2502657497995137,0.49786421281635185,0.3345235424778611,100
3,0.4739807008997261,0.2572496907042664,0.47398070089972616,0.35715843508274503,100
4,0.5131185115585759,0.2657214978424837,0.5131185115585757,0.3640108463122971,100
5,0.5073873691198332,0.2756987868117467,0.5073873691198333,0.3845381554257088,100
6,0.5068880269422121,0.285250588113847,0.506888026942212,0.39283055473306233,100
7,0.5132243546488843,0.2922934627365806,0.5132243546488845,0.4024233195104479,100
8,0.4955824469969061,0.299735779888751,0.4955824469969059,0.40984663353774203,100
9,0.48765495199076025,0.30506547580460935,0.48765495199076014,0.4232496711316255,100
10,0.4991981929071485,0.3141834975599374,0.4991981929071484,0.4336625243006861,100
11,0.51143807846171,0.31689279548518934,0.5114380784617099,0.44315224300363953,100
12,0.4907772590518292,0.3056638190428874,0.49077725905182906,0.438660760995473,100
13,0.4848146604595195,0.31996178218725374,0.4848146604595197,0.4506953846262885,100
14,0.5111897938197688,0.30936724252667125,0.5111897938197689,0.4554739481675568,100
15,0.5033719248289862,0.32446185978760494,0.5033719248289862,0.47032162891782436,100
16,0.5056287568241727,0.320802658929037,0.5056287568241726,0.4572361988405998,100
17,0.4856206515127909,0.32482267807380183,0.48562065151279105,0.4715179875690943,100
18,0.5037436319331989,0.3330793779095916,0.5037436319331988,0.462570183318169,100
19,0.49155969237370306,0.3407538859995639,0.49155969237370317,0.4777517771303483,100
20,0.4950386132760816,0.33336466050078284,0.49503861327608184,0.469482099323055,100
