steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5000000000000001,0.25000000000003636,0.5000000000000001,0.25000000000003636
5,0.4242187818244978,0.2700785672275382,0.4242187818244978,0.3773913129147104
10,0.4364621471212914,0.2990747390989577,0.4364621471212898,0.40587482189816
15,0.4636908123727808,0.28769688141054567,0.4636908123727785,0.41703943385527054
20,0.44531430446814346,0.29183161490241427,0.4453143044681437,0.42002047748362886
25,0.4802915516202176,0.3068265631019487,0.4802915516202577,0.4458740605008643
30,0.4873172040454491,0.30804335739900934,0.48731720404546414,0.44444970510346593
35,0.4743172568397731,0.3039871033707136,0.47431725683977205,0.44980912172783066
40,0.47787060034484696,0.304244341794923,0.47787060034484646,0.44860974139073734
45,0.4689009267793113,0.2981118753579916,0.46890092677931305,0.4522247420239091
50,0.4696508156806847,0.30644335580882787,0.469650815680686,0.45221071894321085
55,0.47393128400684675,0.3185659821827005,0.47393128400684503,0.4554537377257748
60,0.4919030947472329,0.31531704826810225,0.49190309474723276,0.46057403836674893
65,0.4824058740598356,0.31800699749614425,0.4824058740598357,0.45875777587260474
70,0.47821910264703943,0.3092317723284096,0.4782191026470381,0.4595143065042475
75,0.47474658203438475,0.30882044416197124,0.4747465820343755,0.46020696882353607
80,0.4994829873356819,0.3087771571371456,0.499482987335682,0.4619468316767143
85,0.48374983514999825,0.31750519995038506,0.4837498351499952,0.46725943697089406
90,0.509629458943612,0.3168979064947361,0.5096294589436116,0.46522573168412235
95,0.48625517095001664,0.3087310224575042,0.48625517095001625,0.46164888414480176
100,0.49090628485029775,0.31039875960780205,0.49090628485029564,0.4665066223143367
