steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.5000000000000001,0.25,0.5000000000000001,0.25,10
1,0.45630605878615305,0.20100373646795444,0.456306058786153,0.2904536522711128,10
2,0.5273920751985587,0.281920022515206,0.5273920751985589,0.3465399552779515,10
3,0.5406453568265415,0.3325657105051957,0.5406453568265412,0.4211471321494695,10
4,0.4756116086437275,0.33001595195377553,0.4756116086437274,0.4229858582771631,10
5,0.5219559889578819,0.30028710666574526,0.521955988957882,0.42643581506437417,10
6,0.42838751344722403,0.36388076631329425,0.42838751344722414,0.45780845070840065,10
7,0.4446961118748517,0.34386611163264424,0.44469611187485153,0.4711317028571805,10
8,0.4560317892246294,0.31245718731788574,0.45603178922462945,0.44897012182185786,10
9,0.5236260790906326,0.29054079643724784,0.5236260790906325,0.46913729048999614,10
10,0.4540930820097434,0.3682981823480981,0.45409308200974347,0.46951566064015465,10
11,0.4214925437944931,0.3093610347870147,0.421492543794493,0.48282645541844166,10
12,0.4797781484967489,0.32878489673872274,0.47977814849674894,0.443969324538845,10
13,0.4810857497148392,0.277905863050783,0.4810857497148393,0.4898772033832959,10
14,0.3248104332010074,0.3243525578513647,0.3248104332010073,0.4310985289005929,10
15,0.430372383002853,0.3138856215764814,0.430372383002853,0.4785086031866809,10
16,0.41351822732425025,0.32384554483991235,0.4135182273242501,0.4849671855931798,10
17,0.5867582083504616,0.3059862597849279,0.5867582083504616,0.47660476327391876,10
18,0.47180385237384953,0.3373856696421425,0.47180385237384953,0.4884997012687009,10
19,0.5282937811499908,0.3280440673658125,0.5282937811499909,0.4644735743029855,10
20,0.5825815858771993,0.33270992800548055,0.5825815858771994,0.4819382616335239,10
