steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes,num_circuits
0,0.49999999999999906,0.25000000000001366,0.49999999999999906,0.25000000000001366,1
5,0.12635165186571082,0.07703562006990125,0.12635165186571082,0.07703562006990125,1
10,0.11105216663274316,0.06981763614299005,0.11105216663274316,0.06981763614299005,1
15,0.08704528664767035,0.05071245102416405,0.08704528664767035,0.05071245102416405,1
20,0.07848697400652484,0.04757777210712863,0.07848697400652484,0.04757777210712863,1
25,0.07033553517043717,0.04100969648194496,0.07033553517043717,0.04100969648194496,1
30,0.06423154007850866,0.03819340912432342,0.06423154007850866,0.03819340912432342,1
35,0.060384295647272816,0.03545234726961354,0.060384295647272816,0.03545234726961354,1
40,0.055963094228982296,0.032870023057834,0.055963094228982296,0.032870023057834,1
45,0.05348498896147774,0.03155916647464704,0.05348498896147774,0.03155916647464704,1
50,0.05045116844934947,0.029476396138270803,0.05045116844934947,0.029476396138270803,1
55,0.04837574230656503,0.028561929421699172,0.04837574230656503,0.028561929421699172,1
60,0.04637206725580929,0.027123690732886098,0.04637206725580929,0.027123690732886098,1
65,0.0444844905544107,0.02619780494399844,0.0444844905544107,0.02619780494399844,1
70,0.04311772559113825,0.025379280505100396,0.04311772559113825,0.025379280505100396,1
75,0.041489489023222276,0.024429416808077954,0.041489489023222276,0.024429416808077954,1
80,0.04036864909209679,0.023924900025963005,0.04036864909209679,0.023924900025963005,1
85,0.03907476806418113,0.023086584834875613,0.03907476806418113,0.023086584834875613,1
90,0.03803759980378818,0.022713475589173696,0.03803759980378818,0.022713475589173696,1
95,0.03708277092969872,0.0221686712691003,0.03708277092969872,0.0221686712691003,1
100,0.03608849712906492,0.021768399420949658,0.03608849712906492,0.021768399420949658,1
