steps,noise_param,num_circuits,mean_exact,var_exact,mean_independent_modes,var_independent_modes
250,0.003162,50,0.0245683725078935,0.0165190837557751,0.0245683725078938,0.0165297054404442
1000,0.003162,50,0.017487213448864,0.0224309759950402,0.0174872134488644,0.0225408882383816
2000,0.003162,50,0.017634477065060813,0.030744766198373054,0.017634477065061587,0.0310937713365058
250,0.004833,50,0.0264230948922823,0.0203005406416653,0.0264230948922825,0.0203463147736818
250,0.007386,50,0.031347448613677,0.0298187021612061,0.0313474486136762,0.0300444497600818
1000,0.007743,50,0.046569243698068,0.0744248366483705,0.0465692436980662,0.0775087949501186
250,0.011288,50,0.0427203636832419,0.050885715617781,0.0427203636832415,0.0518912803981578
250,0.017252,50,0.0664875125917605,0.0896819253411698,0.0664875125917602,0.0947953669051678
1000,0.018957,50,0.1840749777999117,0.2243872069019276,0.1840749777999115,0.2757049175086195
0,0.02,10,0.5000000000000001,0.2500000000000363,0.5000000000000001,0.2500000000000363
0,0.02,50,0.5000000000000001,0.2500000000000363,0.5000000000000001,0.2500000000000363
0,0.02,100,0.5000000000000001,0.2500000000000363,0.5000000000000001,0.2500000000000363
50,0.02,10,0.060988561038704,0.0488000939677082,0.060988561038704,0.0491720618969981
50,0.02,50,0.0627603906726937,0.0525877433984588,0.0627603906726945,0.0531871112637816
100,0.02,10,0.0611213759905719,0.0656408130549603,0.0611213759905715,0.0675362820252902
100,0.02,50,0.0599203450180575,0.0652423587971929,0.059920345018057,0.0670494408477461
100,0.02,100,0.0599513703655835,0.0651784256393132,0.0599513703655828,0.0669027889933407
150,0.02,10,0.0652679051942844,0.0811748416238204,0.0652679051942854,0.0844637048807094
150,0.02,50,0.0649385470041975,0.0812607896188759,0.0649385470041966,0.084437559560745
200,0.02,10,0.0696387244531646,0.0931250620932085,0.0696387244531642,0.0973185513724963
200,0.02,50,0.0705306010218858,0.0940639643098972,0.0705306010218845,0.099474775055998
200,0.02,100,0.0715499110255831,0.0956822769444552,0.0715499110255776,0.1011281402502983
250,0.02,10,0.0803352284517588,0.1099929176814769,0.0803352284517574,0.1178707300240233
250,0.02,50,0.0791085770491091,0.1088081166506978,0.0791085770491071,0.1167977816178795
300,0.02,10,0.091389969309342,0.126812153343977,0.091389969309341,0.1384587229839671
300,0.02,50,0.0899587178142645,0.1261749656717169,0.0899587178142644,0.1372469999493429
300,0.02,100,0.0883031715121245,0.1237101196456329,0.0883031715121262,0.1344081938866776
350,0.02,10,0.1019119084729956,0.1397101372686626,0.1019119084729949,0.1556467583432888
350,0.02,50,0.0969922825960756,0.1358121858892175,0.0969922825960749,0.1497193705202968
400,0.02,10,0.1008524059411679,0.1423996633000196,0.1008524059411683,0.1560595099835958
400,0.02,50,0.1053082937148951,0.148599671893817,0.1053082937148947,0.1641133318707447
400,0.02,100,0.1054636880904471,0.1476911529876857,0.1054636880904466,0.164440137052325
450,0.02,10,0.1148599655968694,0.160373875560754,0.1148599655968695,0.1781316188200969
450,0.02,50,0.1141923659286867,0.1585234966692168,0.1141923659286871,0.1778235581881202
500,0.02,10,0.1134687400098403,0.1563643838452011,0.1134687400098402,0.1773869512450534
500,0.02,50,0.1192514662192426,0.1636296048147255,0.1192514662192418,0.1868300651519362
500,0.02,100,0.1196598885806522,0.1649834889698437,0.1196598885806519,0.1880025003868888
550,0.02,10,0.127840222423779,0.1739750316401528,0.1278402224237787,0.1977093033666551
550,0.02,50,0.1300669538844223,0.1755056053561073,0.1300669538844225,0.2023355575498721
600,0.02,10,0.1391929721385725,0.1819086000940575,0.1391929721385721,0.2119632934424356
600,0.02,50,0.1379702276438438,0.1843570236283126,0.1379702276438439,0.2146456054917007
600,0.02,100,0.1375668781961761,0.1842175391384053,0.1375668781961753,0.2145824785847435
650,0.02,10,0.143609812155083,0.189191090368794,0.143609812155082,0.2207380830936225
650,0.02,50,0.1416730759117697,0.1860903232759734,0.1416730759117688,0.2205732021089318
700,0.02,10,0.1559522611886403,0.2027642463611671,0.1559522611886404,0.2370911248493271
700,0.02,50,0.1544001741209404,0.200304773692066,0.1544001741209392,0.2374010211110527
700,0.02,100,0.1551692059549275,0.2006710173712538,0.1551692059549263,0.2387386370576169
750,0.02,10,0.1633964495439657,0.2117985448092131,0.1633964495439651,0.2468924297283132
750,0.02,50,0.1556439528209572,0.202246789458652,0.1556439528209573,0.2409450121141148
800,0.02,10,0.1629092008576175,0.1994917029792066,0.1629092008576173,0.2470316011510243
800,0.02,50,0.1680521291302012,0.2109508995453965,0.1680521291302026,0.2564158335815665
800,0.02,100,0.1683820257745527,0.2119610002484699,0.1683820257745532,0.2565400585363187
850,0.02,10,0.1766439229928446,0.2195425813729588,0.1766439229928448,0.263691534796817
850,0.02,50,0.1746915253656212,0.2175084603657743,0.1746915253656201,0.2636348680912431
900,0.02,10,0.181510798312637,0.2243808738859917,0.1815107983126364,0.2678655924022479
900,0.02,50,0.176372009966904,0.2182728833669835,0.1763720099669032,0.2663162600841525
900,0.02,100,0.1760599253661799,0.2172865074360654,0.1760599253661803,0.2670750428984587
950,0.02,10,0.1859226547663194,0.2257843424062899,0.1859226547663176,0.2736524236865534
950,0.02,50,0.1856744819067233,0.2257282258683351,0.1856744819067238,0.2775644243377621
1000,0.02,10,0.1979410070565913,0.2369789086283165,0.1979410070565908,0.2814876015826712
1000,0.02,50,0.1895894095223204,0.2276807750558858,0.1895894095223199,0.2819592528259841
1000,0.02,100,0.1904410759042903,0.2274425403176977,0.190441075904289,0.2834936399566425
2000,0.023714,50,0.32836176154321317,0.28371892506228347,0.32836176154321284,0.3956411601814375
250,0.026367,50,0.1183616729499052,0.1579717001291632,0.1183616729499039,0.1779925385120265
250,0.040296,50,0.201047048850792,0.2236863718569146,0.2010470488507922,0.282368360957908
1000,0.046416,50,0.3982760691013686,0.29956928777833,0.3982760691013726,0.4334025496873414
250,0.061585,50,0.3262629075664032,0.2828190339848189,0.3262629075664325,0.3882852208679924
250,0.09412,50,0.4047068675368462,0.2957546176208566,0.4047068675368435,0.4304673859044419
1000,0.113646,50,0.4671725339536086,0.322747354086572,0.4671725339536346,0.4737607632788785
250,0.143845,50,0.452756008752175,0.3100224370894867,0.4527560087521745,0.4549033723703587
2000,0.177828,50,0.4914755078347157,0.32096473080349386,0.4914755078347149,0.4854859487032809
250,0.219839,50,0.4797610446096551,0.3171956728407583,0.4797610446096539,0.4670073543078251
1000,0.278256,50,0.5010285532131092,0.3266588040578518,0.5010285532131068,0.485749358992607
250,0.335982,50,0.4779205485180591,0.3181938140104065,0.4779205485181145,0.4744575169705194
250,0.513483,50,0.4924372089620605,0.3270003098169017,0.4924372089620585,0.478334538420936
1000,0.681292,50,0.4853291249695599,0.3386087555597676,0.4853291249695592,0.4919532797713509
250,0.78476,50,0.503256153984204,0.3206412275814504,0.5032561539842186,0.4821539163013631
250,1.0,50,0.4938101490534163,0.3247833802086405,0.4938101490534136,0.481920550022196
250,1.199354,50,0.5009864139583933,0.3216659190281578,0.500986413958392,0.479496893268888
2000,1.333521,50,0.5075898276186819,0.3318779206125076,0.5075898276187212,0.4949019801458053
1000,1.668101,50,0.5017762748984146,0.3285694360575638,0.5017762748984139,0.4876254998410877
250,1.832981,50,0.4830684924246881,0.329224061408508,0.4830684924247413,0.4798763941416564
250,2.801357,50,0.4992331444702396,0.317345665686679,0.4992331444702366,0.4796391045724931
250,3.162278,50,0.5103591725044645,0.3265518360320523,0.5103591725044608,0.4765267206365388
1000,4.084239,50,0.5035382672084137,0.3300781653707684,0.5035382672084127,0.4890835448101916
