steps,noise_param,num_circuits,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.02,10,0.5,0.2500000000000008,0.5,0.2500000000000007
50,0.02,10,0.021261144968691425,0.040062729729460435,0.021261144968691574,0.04077688023136137
100,0.02,10,0.021844438808337023,0.04151772662806339,0.02184443880833719,0.04229199512396301
150,0.02,10,0.025459574919384314,0.0479460531147808,0.025459574919384338,0.049293205177233214
200,0.02,10,0.047712921029670216,0.08206130296435124,0.047712921029670105,0.0887667523696973
250,0.02,10,0.06052999709056045,0.10516734505009144,0.060529997090560214,0.11133816287881211
300,0.02,10,0.07181172652519252,0.12367808800327895,0.07181172652519255,0.1291632566809091
350,0.02,10,0.0781233400166769,0.12414181968278384,0.07812334001667681,0.13717225506652464
400,0.02,10,0.07753617519105799,0.12388979584312301,0.07753617519105804,0.1385869773505924
450,0.02,10,0.09641968915403766,0.14889271710711388,0.09641968915403762,0.16951882285850112
500,0.02,10,0.11049180472598355,0.1551192085161441,0.11049180472598344,0.18182529956764953
550,0.02,10,0.09927584881619783,0.15567191093921898,0.09927584881619775,0.17303159674133461
600,0.02,10,0.11631731368096625,0.1642992342392034,0.11631731368096623,0.19489764007161087
650,0.02,10,0.12895256921210374,0.16514820885338286,0.1289525692121039,0.2041750880852971
700,0.02,10,0.15139106646374298,0.19733306142232404,0.15139106646374317,0.24231092517845815
750,0.02,10,0.16611581329358194,0.20985920487583942,0.16611581329358202,0.2588210254951973
800,0.02,10,0.18848056029689034,0.24666471644642915,0.18848056029689003,0.284563167704255
850,0.02,10,0.17123837056482763,0.20264064641677243,0.17123837056482769,0.2638791267297377
900,0.02,10,0.1656483507333335,0.21721937710275832,0.16564835073333356,0.2566865271840865
950,0.02,10,0.15908012420788592,0.20982393213854628,0.15908012420788606,0.25586588096565305
1000,0.02,10,0.15768904851237406,0.22554371381870922,0.15768904851237397,0.2566345581223713
