steps,noise_param,num_circuits,mean_exact,var_exact,mean_independent_modes,var_independent_modes,density_matrices
6,0.003162,50,0.0075841252772553,0.0149369306938713,0.0075841252772554,0.014938762334019,
8,0.003162,100,0.0186632251009669,0.0361803516602518,0.018663225100967,0.0361856099095466,
6,0.004833,50,0.0078418574759137,0.0154352908951701,0.0078418574759136,0.0154395138171541,
8,0.004833,100,0.0189797720439944,0.0367647421045472,0.0189797720439945,0.0367771038704128,
6,0.007386,50,0.0079403401670214,0.0156227781734822,0.0079403401670214,0.0156324782702515,
8,0.007386,100,0.0188220496216341,0.0364510131284912,0.0188220496216341,0.0364830181366195,
6,0.01,50,0.0074140263387001,0.014593904886307,0.0074140263387002,0.0146149530002908,
8,0.01,50,0.0190570134396127,0.036871110467787,0.0190570134396126,0.0369359621102974,
20,0.01,50,0.0019540039143462846,0.003893437026652401,0.0019540039143462256,0.003900243601879484,"[[array([[ 0.86470184+3.33066907e-16j, -0.34196717-7.14296046e-03j],
       [-0.34196717+7.14296046e-03j,  0.13529816+1.23165367e-16j]]), array([[ 0.1263104 -2.60208521e-17j, -0.32996483-3.84615947e-02j],
       [-0.32996483+3.84615947e-02j,  0.8736896 -2.77555756e-16j]])], [array([[ 0.82786184-1.11022302e-16j, -0.37163731+6.62746100e-02j],
       [-0.37163731-6.62746100e-02j,  0.17213816-6.24500451e-17j]]), array([[ 0.12703198+1.11022302e-16j, -0.33152367-3.14151940e-02j],
       [-0.33152367+3.14151940e-02j,  0.87296802-2.77555756e-16j]])], [array([[ 0.82852477+5.55111512e-17j, -0.37410624+4.59999884e-02j],
       [-0.37410624-4.59999884e-02j,  0.17147523+1.73472348e-18j]]), array([[ 0.133582  +0.00000000e+00j, -0.33935974-2.39335727e-02j],
       [-0.33935974+2.39335727e-02j,  0.866418  -5.55111512e-17j]])], [array([[ 0.80725369+3.88578059e-16j, -0.39423403-1.32176065e-02j],
       [-0.39423403+1.32176065e-02j,  0.19274631+1.94289029e-16j]]), array([[ 0.13095696-1.47451495e-17j, -0.33735003+1.47904127e-03j],
       [-0.33735003-1.47904127e-03j,  0.86904304+3.95516953e-16j]])], [array([[ 0.87576418+1.11022302e-16j, -0.32907294-2.26336170e-02j],
       [-0.32907294+2.26336170e-02j,  0.12423582+5.55111512e-17j]]), array([[ 0.12858446+5.55111512e-17j, -0.33406052-2.13089285e-02j],
       [-0.33406052+2.13089285e-02j,  0.87141554-1.38777878e-17j]])], [array([[ 0.82900729+2.22044605e-16j, -0.37264009+5.37918730e-02j],
       [-0.37264009-5.37918730e-02j,  0.17099271+9.71445147e-17j]]), array([[ 0.15273124-5.63785130e-17j, -0.35953508-1.17870148e-02j],
       [-0.35953508+1.17870148e-02j,  0.84726876-4.85722573e-17j]])], [array([[ 0.79350115+3.33066907e-16j, -0.4033039 +3.46848420e-02j],
       [-0.4033039 -3.46848420e-02j,  0.20649885-1.21430643e-17j]]), array([[ 0.12192697+4.16333634e-17j, -0.32719536-1.99580131e-03j],
       [-0.32719536+1.99580131e-03j,  0.87807303-1.66533454e-16j]])], [array([[ 0.80758498-1.04083409e-16j, -0.39345915-2.41117332e-02j],
       [-0.39345915+2.41117332e-02j,  0.19241502-8.15320034e-17j]]), array([[ 0.13015937-1.38777878e-17j, -0.33177555-5.60614686e-02j],
       [-0.33177555+5.60614686e-02j,  0.86984063+0.00000000e+00j]])], [array([[ 0.83174372-5.55111512e-17j, -0.37293361+2.94385247e-02j],
       [-0.37293361-2.94385247e-02j,  0.16825628+1.38777878e-17j]]), array([[ 0.11665626-5.55111512e-17j, -0.319903  -2.66392171e-02j],
       [-0.319903  +2.66392171e-02j,  0.88334374+1.11022302e-16j]])], [array([[ 0.8451347 +1.38777878e-17j, -0.36149646+1.42249371e-02j],
       [-0.36149646-1.42249371e-02j,  0.1548653 +4.16333634e-17j]]), array([[ 0.14525753-9.71445147e-17j, -0.34897442-4.87302030e-02j],
       [-0.34897442+4.87302030e-02j,  0.85474247+1.80411242e-16j]])], [array([[ 0.81935402-1.66533454e-16j, -0.38280823+3.83518689e-02j],
       [-0.38280823-3.83518689e-02j,  0.18064598-1.94289029e-16j]]), array([[ 0.14806383-2.60208521e-17j, -0.35381506-3.09165810e-02j],
       [-0.35381506+3.09165810e-02j,  0.85193617-2.22044605e-16j]])], [array([[ 0.82793002-4.51028104e-16j, -0.37727057+1.13497922e-02j],
       [-0.37727057-1.13497922e-02j,  0.17206998+1.73472348e-18j]]), array([[ 0.12507801-2.94902991e-17j, -0.33028713-1.85449126e-02j],
       [-0.33028713+1.85449126e-02j,  0.87492199+2.22044605e-16j]])], [array([[ 0.85089411+4.92661467e-16j, -0.35618597-2.20793494e-03j],
       [-0.35618597+2.20793494e-03j,  0.14910589+1.40512602e-16j]]), array([[ 0.15100322+2.77555756e-17j, -0.35743997-2.09264327e-02j],
       [-0.35743997+2.09264327e-02j,  0.84899678+5.55111512e-17j]])], [array([[ 0.85219029-3.19189120e-16j, -0.35394803+2.61304058e-02j],
       [-0.35394803-2.61304058e-02j,  0.14780971+1.11022302e-16j]]), array([[ 0.1251038 -1.21430643e-17j, -0.32839771-4.00971234e-02j],
       [-0.32839771+4.00971234e-02j,  0.8748962 -3.33066907e-16j]])], [array([[ 0.83981389+5.55111512e-17j, -0.36540777+3.16810220e-02j],
       [-0.36540777-3.16810220e-02j,  0.16018611-1.11022302e-16j]]), array([[ 0.1345404 -1.11022302e-16j, -0.33837605-4.40559905e-02j],
       [-0.33837605+4.40559905e-02j,  0.8654596 -1.66533454e-16j]])], [array([[ 0.86906602-1.66533454e-16j, -0.33583623-3.16906911e-02j],
       [-0.33583623+3.16906911e-02j,  0.13093398-3.60822483e-16j]]), array([[ 0.13679119+4.07660017e-17j, -0.34216541-3.16574845e-02j],
       [-0.34216541+3.16574845e-02j,  0.86320881-6.24500451e-17j]])], [array([[ 0.8644914+5.55111512e-17j, -0.3416436-2.06316522e-02j],
       [-0.3416436+2.06316522e-02j,  0.1355086-9.71445147e-17j]]), array([[ 0.13050898+5.37764278e-17j, -0.33666044-1.16678488e-02j],
       [-0.33666044+1.16678488e-02j,  0.86949102+4.44089210e-16j]])], [array([[ 0.85329319-2.22044605e-16j, -0.35162773+3.92665105e-02j],
       [-0.35162773-3.92665105e-02j,  0.14670681-2.91433544e-16j]]), array([[ 0.13061394-8.32667268e-17j, -0.33474522-3.87243416e-02j],
       [-0.33474522+3.87243416e-02j,  0.86938606-2.22044605e-16j]])], [array([[ 0.87891113-3.33066907e-16j, -0.32533423-2.41659692e-02j],
       [-0.32533423+2.41659692e-02j,  0.12108887+0.00000000e+00j]]), array([[ 0.14296506-3.98986399e-17j, -0.34707494-4.54426717e-02j],
       [-0.34707494+4.54426717e-02j,  0.85703494-1.66533454e-16j]])], [array([[ 0.82841038-5.55111512e-17j, -0.37612383+2.60284995e-02j],
       [-0.37612383-2.60284995e-02j,  0.17158962-4.16333634e-17j]]), array([[ 0.13531818+4.16333634e-17j, -0.34114808-2.50031612e-02j],
       [-0.34114808+2.50031612e-02j,  0.86468182+2.35922393e-16j]])], [array([[ 0.78252524-5.55111512e-17j, -0.40921278+5.21956629e-02j],
       [-0.40921278-5.21956629e-02j,  0.21747476-5.55111512e-17j]]), array([[ 0.1367808 -2.77555756e-17j, -0.34359157+4.07994951e-03j],
       [-0.34359157-4.07994951e-03j,  0.8632192 -2.22044605e-16j]])], [array([[ 0.82322625+2.22044605e-16j, -0.37633548+6.24211106e-02j],
       [-0.37633548-6.24211106e-02j,  0.17677375-1.04083409e-16j]]), array([[ 0.14119893-1.21430643e-17j, -0.34754135-2.18358586e-02j],
       [-0.34754135+2.18358586e-02j,  0.85880107+5.55111512e-17j]])], [array([[ 0.85449925+1.59594560e-16j, -0.35256544-5.28165397e-03j],
       [-0.35256544+5.28165397e-03j,  0.14550075+1.11022302e-16j]]), array([[ 0.13491816-8.15320034e-17j, -0.34090372-2.23584790e-02j],
       [-0.34090372+2.23584790e-02j,  0.86508184+3.81639165e-16j]])], [array([[ 0.84174577+3.88578059e-16j, -0.36495168-4.48293255e-03j],
       [-0.36495168+4.48293255e-03j,  0.15825423-9.54097912e-17j]]), array([[ 0.14901313-2.94902991e-17j, -0.35405855-3.80887790e-02j],
       [-0.35405855+3.80887790e-02j,  0.85098687+3.33066907e-16j]])], [array([[ 0.82690964-3.95516953e-16j, -0.37729849-2.78555815e-02j],
       [-0.37729849+2.78555815e-02j,  0.17309036-6.76542156e-17j]]), array([[ 0.11917707+0.00000000e+00j, -0.32391536-7.26237064e-03j],
       [-0.32391536+7.26237064e-03j,  0.88082293-2.22044605e-16j]])], [array([[ 0.86649919+2.77555756e-16j, -0.33989963+1.21073943e-02j],
       [-0.33989963-1.21073943e-02j,  0.13350081+2.77555756e-17j]]), array([[ 0.15703089-5.37764278e-17j, -0.36321531-2.11383341e-02j],
       [-0.36321531+2.11383341e-02j,  0.84296911-3.88578059e-16j]])], [array([[ 0.8407506 -9.71445147e-17j, -0.36575804-1.04920077e-02j],
       [-0.36575804+1.04920077e-02j,  0.1592494 -9.54097912e-17j]]), array([[ 0.13512981-7.11236625e-17j, -0.34171619-9.98949999e-03j],
       [-0.34171619+9.98949999e-03j,  0.86487019-1.11022302e-16j]])], [array([[ 0.83693313+1.11022302e-16j, -0.36630385+4.79327795e-02j],
       [-0.36630385-4.79327795e-02j,  0.16306687-6.93889390e-18j]]), array([[ 0.1293249 +1.56125113e-17j, -0.33310388-4.05187730e-02j],
       [-0.33310388+4.05187730e-02j,  0.8706751 +1.66533454e-16j]])], [array([[ 0.86452244-1.66533454e-16j, -0.34222875-1.69452782e-03j],
       [-0.34222875+1.69452782e-03j,  0.13547756-2.79290480e-16j]]), array([[ 0.13847615-1.24900090e-16j, -0.3431906 -3.89963661e-02j],
       [-0.3431906 +3.89963661e-02j,  0.86152385-6.66133815e-16j]])], [array([[ 0.82753739+6.24500451e-17j, -0.37531641+4.30911828e-02j],
       [-0.37531641-4.30911828e-02j,  0.17246261+1.59594560e-16j]]), array([[ 0.14713233+0.00000000e+00j, -0.35313244+2.79622917e-02j],
       [-0.35313244-2.79622917e-02j,  0.85286767+6.24500451e-17j]])], [array([[ 0.84617895+1.52655666e-16j, -0.35871578+3.85113134e-02j],
       [-0.35871578-3.85113134e-02j,  0.15382105+1.68268177e-16j]]), array([[ 0.17011533-5.55111512e-17j, -0.37363772-3.96353171e-02j],
       [-0.37363772+3.96353171e-02j,  0.82988467-1.11022302e-16j]])], [array([[ 0.85858675+3.46944695e-16j, -0.34648837+3.68965628e-02j],
       [-0.34648837-3.68965628e-02j,  0.14141325+2.51534904e-16j]]), array([[ 0.14823538+1.56125113e-17j, -0.35177263-5.01763486e-02j],
       [-0.35177263+5.01763486e-02j,  0.85176462+0.00000000e+00j]])], [array([[ 0.84821027+1.66533454e-16j, -0.35713703+3.46807071e-02j],
       [-0.35713703-3.46807071e-02j,  0.15178973-1.56125113e-17j]]), array([[ 0.14868671+6.76542156e-17j, -0.35573022-5.91457996e-03j],
       [-0.35573022+5.91457996e-03j,  0.85131329-3.33066907e-16j]])], [array([[ 0.85895584-4.85722573e-17j, -0.34787212-1.16484931e-02j],
       [-0.34787212+1.16484931e-02j,  0.14104416-5.72458747e-17j]]), array([[ 0.1284592+9.71445147e-17j, -0.3315749-4.48945288e-02j],
       [-0.3315749+4.48945288e-02j,  0.8715408+4.44089210e-16j]])], [array([[ 0.84506615-2.22044605e-16j, -0.36165213+1.17085459e-02j],
       [-0.36165213-1.17085459e-02j,  0.15493385+1.38777878e-16j]]), array([[ 0.14213887+1.38777878e-17j, -0.34850243-2.19423150e-02j],
       [-0.34850243+2.19423150e-02j,  0.85786113+3.46944695e-16j]])], [array([[ 0.85809383+5.55111512e-17j, -0.34873381-1.23908862e-02j],
       [-0.34873381+1.23908862e-02j,  0.14190617-1.64798730e-16j]]), array([[ 0.13288455+1.38777878e-17j, -0.3367736 -4.25416510e-02j],
       [-0.3367736 +4.25416510e-02j,  0.86711545-6.93889390e-17j]])], [array([[ 0.82157319-3.33066907e-16j, -0.38283219+5.49535747e-03j],
       [-0.38283219-5.49535747e-03j,  0.17842681-1.68268177e-16j]]), array([[ 0.16567921+1.38777878e-17j, -0.36799664-5.29913806e-02j],
       [-0.36799664+5.29913806e-02j,  0.83432079-1.17961196e-16j]])], [array([[ 0.87258407-1.11022302e-16j, -0.33342769-2.66122589e-03j],
       [-0.33342769+2.66122589e-03j,  0.12741593-2.77555756e-16j]]), array([[ 0.11717104-1.67400815e-16j, -0.32054304-2.63466070e-02j],
       [-0.32054304+2.63466070e-02j,  0.88282896-4.85722573e-17j]])], [array([[ 0.84397251-1.11022302e-16j, -0.35979946+4.71938775e-02j],
       [-0.35979946-4.71938775e-02j,  0.15602749+6.93889390e-18j]]), array([[ 0.12410625-5.55111512e-17j, -0.32805721-3.28992433e-02j],
       [-0.32805721+3.28992433e-02j,  0.87589375-1.11022302e-16j]])], [array([[ 0.82833037-5.55111512e-17j, -0.37411402+4.73061032e-02j],
       [-0.37411402-4.73061032e-02j,  0.17166963+1.87350135e-16j]]), array([[ 0.15529183+3.98986399e-17j, -0.3617062 -1.85715410e-02j],
       [-0.3617062 +1.85715410e-02j,  0.84470817-5.55111512e-17j]])], [array([[ 0.85478201+1.11022302e-16j, -0.35231389-2.15533461e-03j],
       [-0.35231389+2.15533461e-03j,  0.14521799-2.77555756e-17j]]), array([[ 0.10746621-2.77555756e-17j, -0.30970505+8.63074493e-05j],
       [-0.30970505-8.63074493e-05j,  0.89253379+1.38777878e-17j]])], [array([[ 0.86467617+3.88578059e-16j, -0.34165287-1.68702354e-02j],
       [-0.34165287+1.68702354e-02j,  0.13532383+2.77555756e-17j]]), array([[ 0.1345068 -2.94902991e-17j, -0.34004249-2.80326101e-02j],
       [-0.34004249+2.80326101e-02j,  0.8654932 -2.08166817e-16j]])], [array([[ 0.8378237 -5.55111512e-17j, -0.36636826+4.06134283e-02j],
       [-0.36636826-4.06134283e-02j,  0.1621763 +4.16333634e-17j]]), array([[ 0.12875788-2.77555756e-17j, -0.33244729-4.07197022e-02j],
       [-0.33244729+4.07197022e-02j,  0.87124212+1.11022302e-16j]])], [array([[ 0.85204651+3.88578059e-16j, -0.35340683+3.41594387e-02j],
       [-0.35340683-3.41594387e-02j,  0.14795349-1.23165367e-16j]]), array([[ 0.1445563 -1.38777878e-17j, -0.34675356-5.84956618e-02j],
       [-0.34675356+5.84956618e-02j,  0.8554437 +5.55111512e-17j]])], [array([[ 0.81977518-2.77555756e-16j, -0.37628086+7.84636695e-02j],
       [-0.37628086-7.84636695e-02j,  0.18022482-2.79290480e-16j]]), array([[ 0.14181305-1.56125113e-17j, -0.34808336-2.32397528e-02j],
       [-0.34808336+2.32397528e-02j,  0.85818695+2.77555756e-16j]])], [array([[ 0.84952597-1.66533454e-16j, -0.35512589+4.14390575e-02j],
       [-0.35512589-4.14390575e-02j,  0.15047403-1.38777878e-17j]]), array([[ 0.16230901+1.21430643e-17j, -0.36769264-2.76932504e-02j],
       [-0.36769264+2.76932504e-02j,  0.83769099+5.55111512e-17j]])], [array([[ 0.84048653+1.73472348e-16j, -0.36608825+6.95112700e-03j],
       [-0.36608825-6.95112700e-03j,  0.15951347-6.76542156e-17j]]), array([[ 0.13715881-9.54097912e-17j, -0.34277988-2.91242356e-02j],
       [-0.34277988+2.91242356e-02j,  0.86284119-2.77555756e-16j]])], [array([[ 0.83370944+2.22044605e-16j, -0.37227238-7.16120286e-03j],
       [-0.37227238+7.16120286e-03j,  0.16629056-1.38777878e-17j]]), array([[ 0.15496154-1.23165367e-16j, -0.35779026-5.41718729e-02j],
       [-0.35779026+5.41718729e-02j,  0.84503846+0.00000000e+00j]])], [array([[ 0.81472111+1.66533454e-16j, -0.37990593+8.13763306e-02j],
       [-0.37990593-8.13763306e-02j,  0.18527889-1.38777878e-17j]]), array([[ 0.13951426-2.86229374e-17j, -0.34471693-3.49323706e-02j],
       [-0.34471693+3.49323706e-02j,  0.86048574+1.11022302e-16j]])], [array([[ 0.83010088+3.88578059e-16j, -0.37440769+2.91940269e-02j],
       [-0.37440769-2.91940269e-02j,  0.16989912+1.50920942e-16j]]), array([[ 0.09979475-4.07660017e-17j, -0.29960188-8.62997614e-03j],
       [-0.29960188+8.62997614e-03j,  0.90020525+5.55111512e-17j]])]]"
6,0.011288,50,0.0082135812822859,0.0161468345155594,0.0082135812822859,0.0161656976933327,
