steps,noise_param,num_circuits,mean_exact,var_exact,mean_independent_modes,var_independent_modes
200,0.003162,50,0.0064562660292784,0.0123514796809376,0.0064562660292785,0.0123631317795973
250,0.003162,50,0.0041105045680568,0.0080684031631623,0.0041105045680569,0.0080819490299912
200,0.004833,50,0.0079891784133236,0.0153962690020306,0.0079891784133236,0.0154410644291411
250,0.004833,50,0.0061332455247675,0.0120323630020089,0.0061332455247674,0.0120874990047317
200,0.007386,50,0.0119907434960118,0.0230937832525256,0.0119907434960121,0.0232864591295788
250,0.007386,50,0.0107595424466671,0.02098047183873,0.0107595424466668,0.0211894779184229
200,0.011288,50,0.0226152074606495,0.042746351970348,0.0226152074606496,0.0436705076228699
250,0.011288,50,0.0232821269396625,0.0439641266284937,0.0232821269396627,0.0451746227328852
200,0.017252,50,0.0398354562423015,0.0722516492628823,0.0398354562423011,0.0754922191169838
250,0.017252,50,0.048110037640806,0.0856024570245601,0.0481100376408055,0.0901619757860573
200,0.026367,50,0.0802694972899259,0.1312087347613526,0.0802694972899254,0.1438586072228276
250,0.026367,50,0.0921910958806294,0.1436276433688146,0.0921910958806291,0.1616556307652683
200,0.040296,50,0.1570570137420024,0.2078668344212765,0.1570570137420023,0.2514504915305972
250,0.040296,50,0.1716235778000397,0.2177135417456201,0.1716235778000399,0.266710234972531
200,0.061585,50,0.2535666191883867,0.2605757849147659,0.2535666191883864,0.3498879313393869
250,0.061585,50,0.30375624552202,0.28183494879258,0.3037562455220201,0.383939258906765
200,0.09412,50,0.3743584738609162,0.2971793764482193,0.3743584738609162,0.4227105356382893
250,0.09412,50,0.3924275094267822,0.302183697024582,0.3924275094267822,0.4369173177898123
200,0.143845,50,0.4219723345783674,0.3109826150480384,0.4219723345783676,0.45521674200264
250,0.143845,50,0.4437677272372622,0.3213649612641384,0.4437677272372623,0.4586126131110773
200,0.219839,50,0.4634842781549757,0.3138531454467161,0.4634842781549757,0.4729969947256492
250,0.219839,50,0.4536885550280973,0.3210413201894186,0.4536885550282172,0.4742852087390325
200,0.335982,50,0.4729700733146796,0.3280798890194142,0.4729700733146796,0.4807002690295867
250,0.335982,50,0.4599975432783029,0.3181864980691356,0.4599975432783023,0.4856603463347554
200,0.513483,50,0.4748200220517704,0.3430052166244688,0.4748200220517704,0.4909625234664744
250,0.513483,50,0.4735202096611894,0.333821784892903,0.4735202096611896,0.4918487563104662
200,0.78476,50,0.4876918816682825,0.3320210989129979,0.4876918816682826,0.4958866541522916
250,0.78476,50,0.4926798059139046,0.335421230584403,0.4926798059139043,0.4981637734923538
250,1.0,50,0.5062002285641077,0.3283550122294164,0.5062002285641078,0.48810879031711424
200,1.199354,50,0.4807768340315343,0.331607646091453,0.4807768340315341,0.4961569007698479
250,1.199354,50,0.4915559800418668,0.3281911233084102,0.4915559800418674,0.4959756967651593
200,1.832981,50,0.4953605759961387,0.3478844579691427,0.4953605759961387,0.4987396068599906
250,1.832981,50,0.5083408787777777,0.3403036673773865,0.5083408787777779,0.4964188686861732
200,2.801357,50,0.5132174397217626,0.3350098846142199,0.5132174397217626,0.4924736275600885
250,2.801357,50,0.4829839095474469,0.3342638376598957,0.4829839095474471,0.4968989802303703
250,3.162278,50,0.5096725670064997,0.3275852607863618,0.5096725670064999,0.4988307371240793
200,4.281332,50,0.4859079331270479,0.3300448368292163,0.4859079331270477,0.4943206595517956
250,4.281332,50,0.4784140809090351,0.3375530303950078,0.4784140809090353,0.4970224840215117
200,6.543189,50,0.4934190848687648,0.340177262831776,0.4934190848687645,0.4985341197386255
250,6.543189,50,0.4937604504178163,0.3330011963230225,0.4937604504178158,0.4974012628445294
200,10.0,50,0.4882598611211531,0.3263264209150594,0.4882598611211534,0.4954607012923609
250,10.0,50,0.4875633552262477,0.3313401737398206,0.4875633552262478,0.497653158728098
