steps,noise_param,num_circuits,mean_exact,var_exact,mean_independent_modes,var_independent_modes,density_matrices
8,0.003162,100,0.0003116238341927,0.0006229560297842,0.0003116238341926,0.0006230534495572,
8,0.003162,1000,0.0003144983427953,0.000628700959732,0.0003144983427954,0.0006287988671756,
8,0.004833,100,0.00044737763827,0.0008939748355052,0.0004473776382703,0.0008943549830381,
8,0.004833,1000,0.0004441633257825,0.0008876374666983,0.0004441633257817,0.0008879320894435,
8,0.007386,100,0.0007171187052586,0.0014322394758968,0.0007171187052587,0.0014332088920427,
8,0.007386,1000,0.0006806672339578,0.0013595201415133,0.0006806672339577,0.0013604078521487,
10,0.01,50,0.008499077609619708,0.016822435666784576,0.008499077609619756,0.016853686578810832,"[[array([[ 0.42182405+0.0000000e+00j, -0.49383756+3.6038940e-03j],
       [-0.49383756-3.6038940e-03j,  0.57817595+6.9388939e-17j]])], [array([[ 0.44120558+3.46944695e-17j, -0.49649371+6.10053282e-03j],
       [-0.49649371-6.10053282e-03j,  0.55879442-1.38777878e-16j]])], [array([[ 0.41604537-6.24500451e-17j, -0.49289042+3.26369989e-03j],
       [-0.49289042-3.26369989e-03j,  0.58395463+0.00000000e+00j]])], [array([[ 0.42841916+6.24500451e-17j, -0.49370706+3.36084196e-02j],
       [-0.49370706-3.36084196e-02j,  0.57158084+8.32667268e-17j]])], [array([[ 0.46026243+1.38777878e-17j, -0.495948  +4.95631344e-02j],
       [-0.495948  -4.95631344e-02j,  0.53973757-1.38777878e-17j]])], [array([[ 0.41612926+1.04083409e-16j, -0.49281861+9.77308677e-03j],
       [-0.49281861-9.77308677e-03j,  0.58387074+5.55111512e-17j]])], [array([[ 0.43885998+3.46944695e-16j, -0.49541835+2.86802891e-02j],
       [-0.49541835-2.86802891e-02j,  0.56114002+4.16333634e-17j]])], [array([[ 0.41417408-1.94289029e-16j, -0.49257874+3.05745605e-04j],
       [-0.49257874-3.05745605e-04j,  0.58582592-1.66533454e-16j]])], [array([[ 0.41310242+2.22044605e-16j, -0.49134525-3.20726599e-02j],
       [-0.49134525+3.20726599e-02j,  0.58689758+0.00000000e+00j]])], [array([[ 0.45304131+7.63278329e-17j, -0.49433215+5.85713744e-02j],
       [-0.49433215-5.85713744e-02j,  0.54695869-8.32667268e-17j]])], [array([[ 0.3695162 +4.85722573e-17j, -0.48253459+1.15908624e-02j],
       [-0.48253459-1.15908624e-02j,  0.6304838 +0.00000000e+00j]])], [array([[ 0.36990262+1.59594560e-16j, -0.48025314+4.93111994e-02j],
       [-0.48025314-4.93111994e-02j,  0.63009738-1.38777878e-16j]])], [array([[ 0.42688943+7.63278329e-17j, -0.49458706+6.20331285e-03j],
       [-0.49458706-6.20331285e-03j,  0.57311057-1.38777878e-16j]])], [array([[ 0.39502166-8.32667268e-17j, -0.48766313-3.41206701e-02j],
       [-0.48766313+3.41206701e-02j,  0.60497834-1.38777878e-17j]])], [array([[ 0.3989865 +0.00000000e+00j, -0.48751342+4.61187718e-02j],
       [-0.48751342-4.61187718e-02j,  0.6010135 +5.55111512e-17j]])], [array([[ 0.43237876-2.08166817e-17j, -0.49538919-4.11350900e-03j],
       [-0.49538919+4.11350900e-03j,  0.56762124+9.71445147e-17j]])], [array([[ 0.42219133+1.94289029e-16j, -0.49312892-2.77430043e-02j],
       [-0.49312892+2.77430043e-02j,  0.57780867-2.22044605e-16j]])], [array([[ 0.40901212+1.11022302e-16j, -0.49071629+3.03105959e-02j],
       [-0.49071629-3.03105959e-02j,  0.59098788-5.55111512e-17j]])], [array([[ 0.39743503-2.08166817e-17j, -0.48832117-3.19822539e-02j],
       [-0.48832117+3.19822539e-02j,  0.60256497+0.00000000e+00j]])], [array([[ 0.41575364-4.85722573e-17j, -0.49270244-1.21184841e-02j],
       [-0.49270244+1.21184841e-02j,  0.58424636+6.93889390e-17j]])], [array([[ 0.43188659+1.94289029e-16j, -0.49418254+3.38257802e-02j],
       [-0.49418254-3.38257802e-02j,  0.56811341-8.32667268e-17j]])], [array([[ 0.42496357+5.55111512e-17j, -0.49291249-3.75074708e-02j],
       [-0.49291249+3.75074708e-02j,  0.57503643-1.38777878e-16j]])], [array([[ 0.40936883+2.77555756e-17j, -0.49152501-1.37533483e-02j],
       [-0.49152501+1.37533483e-02j,  0.59063117+8.32667268e-17j]])], [array([[ 0.4320901 +7.63278329e-17j, -0.49505741+1.75044365e-02j],
       [-0.49505741-1.75044365e-02j,  0.5679099 +2.77555756e-17j]])], [array([[ 0.41419283-1.11022302e-16j, -0.49249371-9.33136490e-03j],
       [-0.49249371+9.33136490e-03j,  0.58580717+2.77555756e-17j]])], [array([[ 0.41540278+3.46944695e-17j, -0.49218245-2.44897113e-02j],
       [-0.49218245+2.44897113e-02j,  0.58459722-9.71445147e-17j]])], [array([[ 0.43175049+2.77555756e-17j, -0.4927388 -5.05022825e-02j],
       [-0.4927388 +5.05022825e-02j,  0.56824951+1.38777878e-16j]])], [array([[ 0.38037031-5.55111512e-17j, -0.48542058+7.45654428e-03j],
       [-0.48542058-7.45654428e-03j,  0.61962969+5.55111512e-17j]])], [array([[ 0.41196897-2.77555756e-17j, -0.48802525+6.38896786e-02j],
       [-0.48802525-6.38896786e-02j,  0.58803103+5.55111512e-17j]])], [array([[ 0.4107915 +2.22044605e-16j, -0.49174307+1.51854700e-02j],
       [-0.49174307-1.51854700e-02j,  0.5892085 +2.77555756e-17j]])], [array([[ 0.42789962-5.55111512e-17j, -0.49477167+1.59143593e-03j],
       [-0.49477167-1.59143593e-03j,  0.57210038-1.11022302e-16j]])], [array([[ 0.39789334-9.02056208e-17j, -0.48842108-3.19230384e-02j],
       [-0.48842108+3.19230384e-02j,  0.60210666+5.55111512e-17j]])], [array([[ 0.41056022-2.77555756e-17j, -0.49182385+1.04798526e-02j],
       [-0.49182385-1.04798526e-02j,  0.58943978-1.38777878e-17j]])], [array([[ 0.41784512+0.00000000e+00j, -0.49319207+3.48693625e-03j],
       [-0.49319207-3.48693625e-03j,  0.58215488-2.77555756e-17j]])], [array([[ 0.39761664-2.77555756e-17j, -0.48876477+2.50328664e-02j],
       [-0.48876477-2.50328664e-02j,  0.60238336-1.66533454e-16j]])], [array([[ 0.39152836+6.93889390e-18j, -0.48762781+2.12843912e-02j],
       [-0.48762781-2.12843912e-02j,  0.60847164+8.32667268e-17j]])], [array([[ 0.41283282-5.55111512e-17j, -0.49157594+2.74768009e-02j],
       [-0.49157594-2.74768009e-02j,  0.58716718-5.55111512e-17j]])], [array([[ 0.40052258+0.00000000e+00j, -0.48894131-3.22589273e-02j],
       [-0.48894131+3.22589273e-02j,  0.59947742+5.55111512e-17j]])], [array([[ 0.41147251+2.49800181e-16j, -0.49202504+8.61633143e-03j],
       [-0.49202504-8.61633143e-03j,  0.58852749+5.55111512e-17j]])], [array([[ 0.38989482-2.77555756e-17j, -0.48716503+2.33897486e-02j],
       [-0.48716503-2.33897486e-02j,  0.61010518+0.00000000e+00j]])], [array([[ 0.4230834 +1.11022302e-16j, -0.49396454-9.10326830e-03j],
       [-0.49396454+9.10326830e-03j,  0.5769166 -2.91433544e-16j]])], [array([[ 0.43404638+0.00000000e+00j, -0.49556713-7.95888216e-03j],
       [-0.49556713+7.95888216e-03j,  0.56595362-2.77555756e-17j]])], [array([[ 0.44284416+1.11022302e-16j, -0.49669165-5.53338000e-03j],
       [-0.49669165+5.53338000e-03j,  0.55715584-8.32667268e-17j]])], [array([[ 0.43875859-8.32667268e-17j, -0.49622023-3.86933251e-03j],
       [-0.49622023+3.86933251e-03j,  0.56124141+1.52655666e-16j]])], [array([[ 0.43595399-2.08166817e-17j, -0.49576527-1.07194729e-02j],
       [-0.49576527+1.07194729e-02j,  0.56404601+0.00000000e+00j]])], [array([[ 0.42704189+6.93889390e-17j, -0.49407008-2.39137404e-02j],
       [-0.49407008+2.39137404e-02j,  0.57295811-1.11022302e-16j]])], [array([[ 0.37289113+5.55111512e-17j, -0.48347987+9.51586871e-03j],
       [-0.48347987-9.51586871e-03j,  0.62710887-1.38777878e-17j]])], [array([[ 0.44190119+2.84494650e-16j, -0.49661133-1.31080424e-03j],
       [-0.49661133+1.31080424e-03j,  0.55809881+4.16333634e-17j]])], [array([[ 0.38660153-6.24500451e-17j, -0.48618616+2.76369613e-02j],
       [-0.48618616-2.76369613e-02j,  0.61339847+2.77555756e-17j]])], [array([[ 0.3755504 +8.32667268e-17j, -0.48372079+2.29455716e-02j],
       [-0.48372079-2.29455716e-02j,  0.6244496 +5.55111512e-17j]])]]"
8,0.011288,100,0.0015757541379035,0.003139039082759,0.0015757541379037,0.0031465422736011,
8,0.011288,1000,0.0012581726870034,0.0025095479576944,0.0012581726870037,0.0025131793769867,
8,0.017252,100,0.0028303929111282,0.0056246617837923,0.0028303929111283,0.0056447635741939,
